X;Y;name
-139.1045803581;61.0123985052;G13_LM020
-139.1043045522;61.0121648354;G13_LM021
-139.1040287503;61.0119311651;G13_LM022
-139.1037529524;61.0116974942;G13_LM023
-139.1034771586;61.0114638228;G13_LM024
-139.1032013689;61.0112301509;G13_LM025
-139.1029255831;61.0109964783;G13_LM026
-139.1026498014;61.0107628052;G13_LM027
-139.1023740237;61.0105291316;G13_LM028
-139.1020982501;61.0102954574;G13_LM029
-139.1018224805;61.0100617827;G13_LM030
-139.1015467149;61.0098281074;G13_LM031
-139.101252197;61.0096003844;G13_LM032
-139.1009218404;61.0093840364;G13_LM033
-139.1005914882;61.0091676877;G13_LM034
-139.1002611405;61.0089513382;G13_LM035
-139.0999307973;61.0087349879;G13_LM036
-139.0996004586;61.0085186367;G13_LM037
-139.0992701243;61.0083022848;G13_LM038
-139.0989397946;61.0080859321;G13_LM039
-139.0986094693;61.0078695786;G13_LM040
-139.0982791485;61.0076532243;G13_LM041
-139.0979488322;61.0074368692;G13_LM042
-139.0976185204;61.0072205133;G13_LM043
-139.0972882131;61.0070041566;G13_LM044
-139.0969579102;61.0067877992;G13_LM045
-139.0966276118;61.0065714409;G13_LM046
-139.0962973179;61.0063550818;G13_LM047
-139.0959670285;61.0061387219;G13_LM048
-139.0956367436;61.0059223613;G13_LM049
-139.0953064632;61.0057059998;G13_LM050
-139.0949761872;61.0054896375;G13_LM051
-139.0946459157;61.0052732745;G13_LM052
-139.0943156488;61.0050569106;G13_LM053
-139.0939853863;61.004840546;G13_LM054
-139.0936551282;61.0046241805;G13_LM055
-139.0933248747;61.0044078143;G13_LM056
-139.0929946256;61.0041914473;G13_LM057
-139.092664381;61.0039750794;G13_LM058
-139.092334141;61.0037587108;G13_LM059
-139.0920039053;61.0035423414;G13_LM060
-139.0916736742;61.0033259712;G13_LM061
-139.0913434476;61.0031096002;G13_LM062
-139.0910132254;61.0028932283;G13_LM063
-139.0906830077;61.0026768557;G13_LM064
-139.0903527945;61.0024604823;G13_LM065
-139.0900225858;61.0022441082;G13_LM066
-139.0896923815;61.0020277332;G13_LM067
-139.0893621818;61.0018113574;G13_LM068
-139.0890319865;61.0015949808;G13_LM069
-139.0886996487;61.0013795005;G13_LM070
-139.0883082276;61.0011887085;G13_LM071
-139.0879168113;61.0009979153;G13_LM072
