X;Y;name
-139.1634296429;60.9133313114;G02_UH010
-139.1611211072;60.9157759134;G02_UH020
-139.1580048034;60.9135509382;G02_UH030
-139.1548889325;60.9113258919;G02_UH040
-139.1517734946;60.9091007747;G02_UH050
-139.1486584895;60.9068755865;G02_UH060
-139.1463525553;60.9088517364;G02_UH070
-139.1441410651;60.9113201242;G02_UH080
-139.1453043396;60.9125370299;G02_UH090
-139.1507792292;60.9121550078;G02_UH100
-139.1562539917;60.9117727624;G02_UH110
-139.1617286268;60.9113902938;G02_UH120
-139.1530842261;60.9139954119;G02_UC002
-139.153606368;60.9140842624;G02_UC003
-139.1541285129;60.9141731108;G02_UC004
-139.1546506608;60.9142619572;G02_UC005
-139.1551900585;60.9142811533;G02_UC006
-139.1557406158;60.9142552807;G02_UC007
-139.1562911723;60.9142294058;G02_UC008
-139.1568417279;60.9142035287;G02_UC009
-139.1579192189;60.9140840722;G02_UC011
-139.158456442;60.9140199859;G02_UC012
-139.158993663;60.9139558974;G02_UC013
-139.159441239;60.9138042152;G02_UC014
-139.159869825;60.9136339804;G02_UC015
-139.1602860854;60.9134591849;G02_UC016
-139.1605081873;60.9132125438;G02_UC017
-139.1607302858;60.9129659022;G02_UC018
-139.1609523808;60.9127192603;G02_UC019
-139.1609860377;60.912203375;G02_UC021
-139.1608826523;60.911938814;G02_UC022
-139.1607792687;60.9116742529;G02_UC023
-139.1606642088;60.9114110142;G02_UC024
-139.1605172183;60.9111513919;G02_UC025
-139.1603702301;60.9108917694;G02_UC026
-139.1602232442;60.9106321468;G02_UC027
-139.1600762608;60.910372524;G02_UC028
-139.1597855572;60.9101753901;G02_UC029
-139.1587592266;60.9099745695;G02_UC031
-139.1582460662;60.9098741563;G02_UC032
-139.157732909;60.9097737411;G02_UC033
-139.157251926;60.9096425209;G02_UC034
-139.1567830373;60.909499723;G02_UC035
-139.1563141527;60.9093569234;G02_UC036
-139.1558452723;60.9092141222;G02_UC037
-139.1553763962;60.9090713194;G02_UC038
-139.1548609058;60.9089842543;G02_UC039
-139.1537802395;60.9088695322;G02_UC041
-139.1532399093;60.9088121679;G02_UC042
-139.1526995811;60.9087548015;G02_UC043
-139.1521542087;60.9087419442;G02_UC044
-139.1516041976;60.9087699989;G02_UC045
-139.1510541855;60.9087980513;G02_UC046
-139.1505041726;60.9088261014;G02_UC047
-139.1499705986;60.9088773663;G02_UC048
-139.1495019825;60.9090203688;G02_UC049
-139.1485647379;60.9093063688;G02_UC051
-139.1480961093;60.9094493664;G02_UC052
