X;Y;Slope_G4;Aspect_G4;DEM_G4;d100_a110_
595179.637;6740816.43;9.32925;308.82983;2465;7.13
595177.025;6740806.77;9.32925;308.82983;2465;7.13
595174.414;6740797.11;9.32925;308.82983;2465;7.13
595195.809;6740873.96;15.42857;307.64761;2452;14.04
595193.087;6740864.35;13.18509;311.76031;2460;9.93
595190.349;6740854.68;13.18509;311.76031;2460;9.93
595229.054;6740920.73;14.49983;295.01691;2457;11.31
595222.706;6740913;14.49983;295.01691;2457;11.31
595216.357;6740905.27;13.49619;302.24246;2462;9.93
595273.736;6740962.49;11.41814;291.80139;2462;9.93
595266.262;6740955.85;11.41814;291.80139;2462;9.93
595258.788;6740949.22;11.06822;296.56506;2465;8.53
595319.589;6741003.16;8.30118;311.53177;2465;6.38
595312.106;6740996.53;8.30118;311.53177;2465;6.38
595304.623;6740989.89;8.83106;300.17352;2469;5.71
595361.12;6741042.01;10.78409;4.6859;2462;3.84
595353.88;6741035.16;10.78409;4.6859;2462;3.84
595346.599;6741028.28;8.29644;343.8866;2469;4.47
595416.818;6741039.16;16.8891;15.46122;2457;2.56
595406.972;6741041.14;16.8891;15.46122;2457;2.56
595397.183;6741043.11;14.39665;14.03625;2460;3.84
595476.402;6741027.26;15.30983;19.25929;2466;-1.92
595466.562;6741029.22;15.30983;19.25929;2466;-1.92
595456.782;6741031.17;18.30518;18.09391;2453;0.64
595534.87;6741014.36;18.0285;36.43086;2454;-7.64
595525.156;6741016.54;18.0285;36.43086;2454;-7.64
595515.383;6741018.74;16.90113;28.1416;2461;-4.47
595576.143;6740984.07;18.3913;50.33216;2454;-8.27
595568.658;6740990.74;19.66776;45.70732;2445;-8.27
595561.211;6740997.38;18.0285;36.43086;2454;-7.64
595616.572;6740939.89;18.16438;50.40379;2451;-4.52
595609.992;6740947.38;18.16438;50.40379;2451;-4.52
595603.371;6740954.91;19.53931;50.71059;2442;-6.32
595657.2;6740892.28;17.6498;34.62416;2451;3.2
595650.755;6740899.88;17.6498;34.62416;2451;3.2
595644.27;6740907.52;17.6498;34.62416;2451;3.2
595694.828;6740848.34;17.20339;15.15407;2458;5.11
595688.343;6740855.9;17.20339;15.15407;2458;5.11
595681.821;6740863.5;17.20339;15.15407;2458;5.11
595713.054;6740791.31;13.33667;13.67131;2469;1.92
595710.742;6740801.08;13.33667;13.67131;2469;1.92
595708.443;6740810.79;13.33667;13.67131;2469;1.92
595728.569;6740734.28;10.79226;129.68546;2474;-8.53
595725.878;6740743.92;10.79226;129.68546;2474;-8.53
595723.187;6740753.55;6.29796;42.70939;2475;-4.29
595740.535;6740676.13;21.09121;140.90614;2466;-16.7
595738.66;6740685.94;21.09121;140.90614;2466;-16.7
595736.774;6740695.81;21.09121;140.90614;2466;-16.7
595733.832;6740617.38;33.86551;144.83356;2429;-25.41
595735.565;6740627.26;33.86551;144.83356;2429;-25.41
595737.286;6740637.09;29.79263;144.75243;2451;-21.8
595722.813;6740558.82;34.29845;143.54907;2407;-25.41
595724.681;6740568.61;34.29845;143.54907;2407;-25.41
595726.561;6740578.47;34.29845;143.54907;2407;-25.41
595689.039;6740511.46;30.10807;143.74615;2399;-20.56
595695.495;6740519.05;30.10807;143.74615;2399;-20.56
595701.989;6740526.69;30.10807;143.74615;2399;-20.56
595649.068;6740466.5;22.30956;120.66457;2387;-19.29
595655.739;6740473.93;24.67794;132.24751;2397;-19.29
595662.41;6740481.37;24.67794;132.24751;2397;-19.29
595598.884;6740446.76;22.83288;114.09202;2416;-20.56
595608.512;6740449.48;22.27512;118.71508;2401;-19.29
595618.14;6740452.2;22.27512;118.71508;2401;-19.29
595538.968;6740446.04;24.0766;107.92792;2432;-22.35
595548.929;6740445.64;24.0766;107.92792;2432;-22.35
595558.95;6740445.24;24.0766;107.92792;2432;-22.35
595479.906;6740449.11;22.88107;96.80905;2468;-24.09
595489.892;6740448.57;24.29446;102.39967;2450;-23.5
595499.877;6740448.02;24.29446;102.39967;2450;-23.5
595429.768;6740478.7;16.05192;90;2484;-19.29
595437.837;6740472.87;16.05192;90;2484;-19.29
595445.955;6740466.99;22.88107;96.80905;2468;-24.09
595380.297;6740512.74;7.56994;60.42216;2491;-9.93
595388.588;6740507.09;11.07566;70.40771;2493;-12.68
595396.828;6740501.48;11.07566;70.40771;2493;-12.68
595332.841;6740549.55;6.6314;20.37643;2488;0
595340.656;6740543.33;9.59182;37.50414;2493;-2.86
595348.518;6740537.08;9.59182;37.50414;2493;-2.86
596236.318;6740051.18;6.56053;139.39871;2187;-4.29
596239.241;6740060.82;6.56053;139.39871;2187;-4.29
596242.124;6740070.33;8.16629;152.87869;2187;-1.43
596218.835;6739993.52;6.12219;144.46233;2184;-4.29
596221.727;6740003.06;6.12219;144.46233;2184;-4.29
596224.637;6740012.65;6.12219;144.46233;2184;-4.29
596211.363;6739934.58;6.56547;130.60129;2176;-4.29
596212.28;6739944.5;6.56547;130.60129;2176;-4.29
596213.202;6739954.47;6.41175;146.30994;2180;-2.86
596207.434;6739874.01;7.32267;108.43495;2174;-5.87
596208.025;6739883.96;7.32267;108.43495;2174;-5.87
596208.62;6739893.97;7.32267;108.43495;2174;-5.87
596228.119;6739819.43;10.50279;57.38076;2174;-4.47
596223.817;6739828.44;8.18658;90;2173;-6.76
596219.489;6739837.5;8.18658;90;2173;-6.76
596255.996;6739765.84;15.32415;41.30861;2174;-3.2
596251.304;6739774.71;15.32415;41.30861;2174;-3.2
596246.639;6739783.53;15.32415;41.30861;2174;-3.2
596300.468;6739732.3;20.35277;31.95436;2176;-0.64
596292.003;6739737.56;20.35277;31.95436;2176;-0.64
596283.491;6739742.84;20.35277;31.95436;2176;-0.64
596356.584;6739708.25;17.72433;29.81416;2169;0.64
596347.246;6739711.93;17.72433;29.81416;2169;0.64
596337.964;6739715.59;17.72433;29.81416;2169;0.64
596413.988;6739694.31;15.14057;32.77488;2170;-3.2
